0.000981405, -0.0168738, 0.0322136, 0.0383495, 1.38825, -0.0168738, 0.0322136, 0.0383495, 1.38825, 0.0239808, 0, 0, 0, 0, 0, 0, 0
0.00197216, -0.0168738, 0.0322136, 0.0383495, 1.38825, -0.0168738, 0.0322136, 0.0383495, 1.38825, 0.0239808, 0, 0, 0, 0, 0, 0, 0
0.00291961, -0.0168738, 0.0322136, 0.0383495, 1.38825, -0.0168738, 0.0322136, 0.0383495, 1.38825, 0.0239808, 0, 0, 0, 0, -48, -40, -1
0.00391968, -0.0168738, 0.0322136, 0.0383495, 1.38979, -0.0168738, 0.0322136, 0.0383495, 1.38979, 0.0239808, 0, 0, 0, 0, -147, -112, -7
0.00492049, -0.0168738, 0.0322136, 0.0383495, 1.38979, -0.0168738, 0.0322136, 0.0383495, 1.38979, 0.0239808, 0, 0, 0, 0, -98, -76, -4
0.0059188, -0.0168738, 0.0322136, 0.0383495, 1.38825, -0.0168738, 0.0322136, 0.0383495, 1.38825, 0.0239808, 0, 0, 0, 0, -130, -103, -6
0.00691869, -0.0168738, 0.0306796, 0.0383495, 1.38825, -0.0168738, 0.0306796, 0.0383495, 1.38825, 0.0239808, 0, 0, 0, 0, -119, -92, -4
0.00791939, -0.0168738, 0.0306796, 0.0368155, 1.38825, -0.0168738, 0.0306796, 0.0368155, 1.38825, 0.0239808, 0, 0, 0, 0, -117, -95, -8
0.00891973, -0.0168738, 0.0306796, 0.0368155, 1.38979, -0.0168738, 0.0306796, 0.0368155, 1.38979, 0.0239808, 0, 0, 0, 0, -126, -96, -5
0.00991884, -0.0168738, 0.0291456, 0.0368155, 1.38979, -0.0168738, 0.0291456, 0.0368155, 1.38979, 0.0239808, 0, 0, 0, 0, -116, -93, -8
0.0108661, -0.0168738, 0.0291456, 0.0352816, 1.38979, -0.0168738, 0.0291456, 0.0352816, 1.38979, 0.0239808, 0, 0, 0, 0, -124, -98, -6
0.0118786, -0.0168738, 0.0276117, 0.0352816, 1.38825, -0.0168738, 0.0276117, 0.0352816, 1.38825, 0.0239808, 0, 0, 0, 0, -119, -93, -8
0.0129199, -0.0168738, 0.0260777, 0.0337476, 1.38825, -0.0168738, 0.0260777, 0.0337476, 1.38825, 0.0239808, 0, 0, 0, 0, -121, -96, -6
0.0139187, -0.0168738, 0.0260777, 0.0337476, 1.38979, -0.0168738, 0.0260777, 0.0337476, 1.38979, 0.0239808, 0, 0, 0, 0, -120, -96, -7
0.0149186, -0.0168738, 0.0230097, 0.0337476, 1.38979, -0.0168738, 0.0230097, 0.0337476, 1.38979, 0.0239808, 0, 0, 0, 0, -119, -92, -5
0.0159192, -0.0168738, 0.0214757, 0.0322136, 1.38825, -0.0168738, 0.0214757, 0.0322136, 1.38825, 0.0239808, 0, 0, 0, 0, -123, -99, -7
0.0169194, -0.0168738, 0.0214757, 0.0306796, 1.38825, -0.0168738, 0.0214757, 0.0306796, 1.38825, 0.0239808, -0.0239808, 0, 0, 0, -120, -93, -4
0.0179187, -0.0168738, 0.0199418, 0.0306796, 1.38979, -0.0168738, 0.0199418, 0.0306796, 1.38979, 0.0239808, -0.0239808, -0.0239808, 0, 0, -120, -99, -8
0.0189186, -0.0168738, 0.0184078, 0.0291456, 1.38825, -0.0168738, 0.0184078, 0.0291456, 1.38825, 0.0239808, -0.0239808, -0.0239808, 0, 0, -121, -94, -4
0.0199194, -0.0168738, 0.0153398, 0.0291456, 1.38825, -0.0168738, 0.0153398, 0.0291456, 1.38825, 0.0239808, -0.0479616, -0.0239808, 0, 0, -117, -96, -8
0.020922, -0.0168738, 0.0153398, 0.0276117, 1.38979, -0.0168738, 0.0153398, 0.0276117, 1.38979, 0.0239808, -0.0479616, -0.0239808, 0, 0, -120, -97, -5
0.0219189, -0.0168738, 0.0122718, 0.0260777, 1.38825, -0.0168738, 0.0122718, 0.0260777, 1.38825, 0.0239808, -0.0479616, -0.0239808, 0, 0, -122, -95, -6
0.0229198, -0.0184078, 0.0122718, 0.0260777, 1.38979, -0.0184078, 0.0122718, 0.0260777, 1.38979, 0.0239808, -0.0719425, -0.0479616, 0, 1, -118, -96, -7
0.0239195, -0.0184078, 0.0107379, 0.0230097, 1.38979, -0.0184078, 0.0107379, 0.0230097, 1.38979, 0.0239808, -0.0719425, -0.0479616, 0, 1, -120, -96, -5
0.024909, -0.0184078, 0.0076699, 0.0214757, 1.38825, -0.0184078, 0.0076699, 0.0214757, 1.38825, 0.0239808, -0.0959233, -0.0479616, 0, -1, -118, -96, -9
0.0258881, -0.0184078, 0.00613592, 0.0199418, 1.38979, -0.0184078, 0.00613592, 0.0199418, 1.38979, 0.0239808, -0.0959233, -0.0719425, 0, 0, -120, -98, -5
0.0269186, -0.0184078, 0.00460194, 0.0184078, 1.38979, -0.0184078, 0.00460194, 0.0184078, 1.38979, 0, -0.119904, -0.0719425, 0, 1, -120, -97, -7
0.0278906, -0.0199418, 0.00153398, 0.0184078, 1.38979, -0.0199418, 0.00153398, 0.0184078, 1.38979, 0, -0.143885, -0.0719425, 0, 1, -117, -96, -9
0.0289197, -0.0184078, 0, 0.0168738, 1.38979, -0.0184078, 0, 0.0168738, 1.38979, 0, -0.143885, -0.0959233, 0, 0, -118, -98, -5
0.0298861, -0.0184078, -0.00153398, 0.0153398, 1.38979, -0.0184078, -0.00153398, 0.0153398, 1.38979, 0, -0.167866, -0.0959233, 0, 0, -116, -97, -10
0.030886, -0.0199418, -0.00306796, 0.0138058, 1.38979, -0.0199418, -0.00306796, 0.0138058, 1.38979, 0, -0.191847, -0.119904, 0, 0, -119, -96, -6
0.0319193, -0.0199418, -0.00613592, 0.0122718, 1.38979, -0.0199418, -0.00613592, 0.0122718, 1.38979, 0, -0.191847, -0.119904, 0, 1, -116, -96, -8
0.0328668, -0.0199418, -0.0076699, 0.0122718, 1.38979, -0.0199418, -0.0076699, 0.0122718, 1.38979, 0, -0.215827, -0.143885, 0, 1, -114, -98, -8
0.0338872, -0.0199418, -0.0107379, 0.0107379, 1.38979, -0.0199418, -0.0107379, 0.0107379, 1.38979, 0, -0.239808, -0.143885, 0, 1, -117, -97, -6
0.034886, -0.0199418, -0.0122718, 0.00920388, 1.38979, -0.0199418, -0.0122718, 0.00920388, 1.38979, 0, -0.263789, -0.167866, 0, 0, -117, -96, -10
0.0358913, -0.0199418, -0.0153398, 0.00920388, 1.38979, -0.0199418, -0.0153398, 0.00920388, 1.38979, 0, -0.28777, -0.167866, 0, 0, -114, -97, -4
0.036921, -0.0199418, -0.0168738, 0.0076699, 1.38979, -0.0199418, -0.0168738, 0.0076699, 1.38979, 0, -0.311751, -0.191847, 0, 1, -114, -96, -9
0.0378856, -0.0199418, -0.0184078, 0.00613592, 1.38979, -0.0199418, -0.0184078, 0.00613592, 1.38979, 0, -0.335732, -0.191847, 0, 0, -116, -96, -8
0.0389106, -0.0199418, -0.0214757, 0.00460194, 1.38979, -0.0199418, -0.0214757, 0.00460194, 1.38979, 0, -0.359712, -0.215827, 0, 0, -114, -96, -6
0.0398917, -0.0199418, -0.0230097, 0.00460194, 1.38979, -0.0199418, -0.0230097, 0.00460194, 1.38979, 0, -0.383693, -0.239808, 0, 0, -111, -97, -11
0.0408862, -0.0199418, -0.0260777, 0.00306796, 1.38979, -0.0199418, -0.0260777, 0.00306796, 1.38979, 0, -0.407674, -0.239808, 0, 0, -111, -96, -5
0.0419012, -0.0184078, -0.0276117, 0.00153398, 1.38979, -0.0184078, -0.0276117, 0.00153398, 1.38979, 0, -0.431655, -0.263789, 0, 0, -116, -94, -12
0.0428872, -0.0199418, -0.0306796, 0.00153398, 1.38979, -0.0199418, -0.0306796, 0.00153398, 1.38979, 0, -0.455636, -0.263789, 0, 0, -110, -97, -6
0.0439196, -0.0184078, -0.0322136, 0, 1.38979, -0.0184078, -0.0322136, 0, 1.38979, 0, -0.479616, -0.28777, 0, 0, -110, -94, -11
0.0448679, -0.0184078, -0.0337476, -0.00153398, 1.38825, -0.0184078, -0.0337476, -0.00153398, 1.38825, 0, -0.503597, -0.311751, 0, 0, -110, -93, -7
0.0458894, -0.0199418, -0.0368155, -0.00306796, 1.38825, -0.0199418, -0.0368155, -0.00306796, 1.38825, 0, -0.527578, -0.311751, 0, 0, -112, -96, -9
0.0468706, -0.0199418, -0.0383495, -0.00306796, 1.38979, -0.0199418, -0.0383495, -0.00306796, 1.38979, 0, -0.551559, -0.335732, 0, 0, -109, -94, -8
0.0478666, -0.0184078, -0.0414175, -0.00306796, 1.38825, -0.0184078, -0.0414175, -0.00306796, 1.38825, 0, -0.599521, -0.359712, 0, 0, -109, -94, -8
0.0488696, -0.0199418, -0.0429515, -0.00613592, 1.38825, -0.0199418, -0.0429515, -0.00613592, 1.38825, 0, -0.623501, -0.359712, 0, 0, -108, -93, -10
0.0498661, -0.0184078, -0.0429515, -0.00613592, 1.38825, -0.0184078, -0.0429515, -0.00613592, 1.38825, 0, -0.647482, -0.383693, 0, 0, -110, -92, -7
0.0508662, -0.0184078, -0.0460194, -0.0076699, 1.38825, -0.0184078, -0.0460194, -0.0076699, 1.38825, 0, -0.671463, -0.383693, 0, 0, -107, -92, -10
0.0518667, -0.0199418, -0.0475534, -0.0076699, 1.38825, -0.0199418, -0.0475534, -0.0076699, 1.38825, 0, -0.695444, -0.407674, 0, 0, -106, -93, -6
0.0528674, -0.0184078, -0.0490874, -0.0076699, 1.38825, -0.0184078, -0.0490874, -0.0076699, 1.38825, 0, -0.719425, -0.431655, 0, 0, -106, -91, -10
0.0538855, -0.0199418, -0.0506214, -0.00920388, 1.38825, -0.0199418, -0.0506214, -0.00920388, 1.38825, 0, -0.767386, -0.431655, 0, 0, -105, -93, -6
0.0548667, -0.0184078, -0.0506214, -0.0107379, 1.38825, -0.0184078, -0.0506214, -0.0107379, 1.38825, 0, -0.791367, -0.455636, 0, 0, -104, -89, -10
0.0558665, -0.0184078, -0.0521553, -0.0107379, 1.38825, -0.0184078, -0.0521553, -0.0107379, 1.38825, 0, -0.815348, -0.479616, 0, 0, -105, -92, -8
0.0568673, -0.0184078, -0.0536893, -0.0107379, 1.38825, -0.0184078, -0.0536893, -0.0107379, 1.38825, 0, -0.839329, -0.479616, 0, 0, -103, -90, -9
0.0578667, -0.0184078, -0.0536893, -0.0122718, 1.38825, -0.0184078, -0.0536893, -0.0122718, 1.38825, 0, -0.86331, -0.503597, 0, 0, -103, -89, -7
0.058872, -0.0184078, -0.0552233, -0.0122718, 1.38672, -0.0184078, -0.0552233, -0.0122718, 1.38672, 0, -0.88729, -0.503597, 0, 0, -102, -92, -9
0.0598697, -0.0184078, -0.0552233, -0.0122718, 1.38825, -0.0184078, -0.0552233, -0.0122718, 1.38825, 0, -0.911271, -0.527578, 0, 0, -104, -87, -7
0.060869, -0.0184078, -0.0552233, -0.0138058, 1.38825, -0.0184078, -0.0552233, -0.0138058, 1.38825, 0, -0.935252, -0.527578, 0, 0, -99, -90, -11
